image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
104,0.9657999873161316,0.0,0.0,0.0,0.0,0.7103411343751594,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
116,0.9529333114624025,0.0004719207063317,0.0058309040032327,0.0005132153164595,0.0009433962404727,0.7970700531544668,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
118,0.9509666562080384,0.0112032266333699,0.3311258256435394,0.0114626316353678,0.022158209234476,0.7926705765380158,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
17,0.9525444507598876,0.012713823467493,0.7236841917037964,0.0127758421003818,0.0251084230840206,0.7330842000425706,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
20,0.9288777709007264,0.0,0.0,0.0,0.0,0.6752334239128216,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
21,0.9525666832923888,0.0002341920335311,0.009345794096589,0.0002401536912657,0.0004682744038291,0.6286121999667933,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
31,0.9613666534423828,0.0136170210316777,0.4571428596973419,0.0138408308848738,0.0268681775778532,0.6823856067194322,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
33,0.9638333320617676,0.0033680342603474,0.4074074029922485,0.0033846152946352,0.0067134574055671,0.610587245400133,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
34,0.9677110910415648,0.0013745704200118,0.1599999964237213,0.0013845621142536,0.0027453671209514,0.6458727284202183,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
39,0.9616555571556092,0.0,0.0,0.0,0.0,0.7174865679834876,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
54,0.9660333395004272,0.0,0.0,0.0,0.0,0.7599402826932043,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
59,0.9413111209869384,0.0090056285262107,0.1253263652324676,0.0096096098423004,0.0178505014628171,0.642509253562721,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
64,0.9447222352027892,0.0,0.0,0.0,0.0,0.7272430344185455,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
65,0.9455778002738952,0.0024439918342977,0.0638297870755195,0.0025348542258143,0.0048760664649307,0.7510917597556556,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
74,0.9362778067588806,0.0024352062027901,0.4827586114406585,0.0024415764492005,0.004858580417931,0.7161960843827787,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
8,0.9526000022888184,0.0016381932655349,0.086419753730297,0.001667063566856,0.0032710279338061,0.6739215109035721,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
85,0.93185555934906,0.0,0.0,0.0,0.0,0.5850421627905478,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
9,0.9489111304283142,0.0,0.0,0.0,0.0,0.5727622690690587,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
90,0.9486666917800904,0.0244932435452938,0.2729411721229553,0.0262028463184833,0.0478153340518474,0.7418080166269942,zero_shot_litemedsam,0,,,litemedsam,litemedsam,Zero-Shot LiteMedSAM,zero_shot,__zero_shot_raw__,False,litemedsam
