run_name,num_samples,run,rep,wandb_group,model_class,Accuracy,IoU,Precision,Recall,Dice,AUC,model_type,stage,experiment,is_mock,weights
resnet18_unet_weights_id:FromScratch_run:3_rep:1_ns:10,10,3,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9391911417245864,0.612049350142479,0.7665892452001571,0.757834541797638,0.758909496665001,0.9527978215344326,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:1_ns:12,12,3,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,0.9418487429618836,0.6258128613233567,0.7758524626493454,0.7686506986618042,0.7695096224546433,0.9565531923529272,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:1_ns:14,14,3,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:14,resnet18_unet,0.9448752045631408,0.6282688856124878,0.8162389814853668,0.7357174396514893,0.771231958270073,0.957246537680105,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:1_ns:16,16,3,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:16,resnet18_unet,0.9441067606210708,0.638989195227623,0.7824409902095795,0.7814200341701507,0.7794263064861298,0.9595590481864082,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:1_ns:2,2,3,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:2,resnet18_unet,0.929013779759407,0.5539670005440712,0.74314643740654,0.6977036565542221,0.7122026652097702,0.9361061872453008,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:1_ns:4,4,3,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:4,resnet18_unet,0.9377275466918944,0.5833477288484573,0.800907775759697,0.6888048976659775,0.7359277725219726,0.941543600818328,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:1_ns:6,6,3,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:6,resnet18_unet,0.9365569829940796,0.591502383351326,0.7684682846069336,0.7261599868535995,0.74288469851017,0.9471758934779184,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:1_ns:8,8,3,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:8,resnet18_unet,0.9384981036186218,0.6069518715143204,0.7654987454414368,0.7503146231174469,0.7550236225128174,0.9493909159536488,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:2_ns:1,1,3,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.9234090209007264,0.5456581965088845,0.7281961917877198,0.7106154292821885,0.7039915412664414,0.927822753568592,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:2_ns:10,10,3,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9377414017915726,0.6084752768278122,0.7542078286409378,0.7640997529029846,0.7562635719776154,0.9519441301500648,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:2_ns:12,12,3,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,0.9411415755748748,0.6190908223390579,0.7789303302764893,0.7557698220014573,0.7643746256828308,0.954277899700193,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:2_ns:14,14,3,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:14,resnet18_unet,0.9427460163831712,0.625204113125801,0.7896410405635834,0.7545889556407929,0.7690292984247208,0.9551233310358188,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:2_ns:16,16,3,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:16,resnet18_unet,0.944205978512764,0.6380099058151245,0.7852965295314789,0.7770170986652374,0.7786886751651764,0.9584008937550218,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:3_rep:2_ns:2,2,3,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:2,resnet18_unet,0.9338867604732514,0.56855149269104,0.7729875236749649,0.69078249335289,0.7241639524698258,0.9389685043092456,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
