image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
10_test,0.9460172653198242,0.6232925057411194,0.7891566157341003,0.7478270530700684,0.7679361701011658,0.9521974367147352,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
13_test,0.9412395358085632,0.639987051486969,0.8296327590942383,0.7368225455284119,0.7804781794548035,0.9490688089195236,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
12_test,0.947022259235382,0.6407567262649536,0.8090813159942627,0.7548964619636536,0.7810502648353577,0.9613866260801448,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
19_test,0.9413073658943176,0.6271650195121765,0.7270312905311584,0.8203310370445251,0.7708683609962463,0.9588494213880918,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
20_test,0.9388325810432434,0.5914095044136047,0.6727898120880127,0.8302011489868164,0.7432524561882019,0.966779871288485,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
14_test,0.9455931782722472,0.6337406635284424,0.7544799447059631,0.7983928322792053,0.775815486907959,0.9611455390037618,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
05_test,0.9429407119750975,0.6398513913154602,0.8168306350708008,0.7470386624336243,0.7803773283958435,0.9466484927237708,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
08_test,0.9406787157058716,0.6157031655311584,0.7682204842567444,0.7561725378036499,0.7621488571166992,0.95242107129815,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
06_test,0.9391865730285645,0.6237114667892456,0.8310502171516418,0.7142812609672546,0.7682541012763977,0.94122524881489,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
15_test,0.9460363984107972,0.6146889925003052,0.7038941383361816,0.829069972038269,0.761371374130249,0.9659476736676348,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
